abbr;abbreviation
rhl;red hat linux
rhel;red hat enterprise linux
ria;rich internet application
riaa;recording industry association of america
rip;raster image processor
rip;routing information protocol
rir;regional internet registry
risc;reduced instruction set computer
risc os;reduced instruction set computer operating system
rje;remote job entry
rle;run-length encoding
rll;run-length limited
rmdir;remove directory
rmi;remote method invocation
rms;richard matthew stallman
rom;read-only memory
romb;read-out motherboard
rom-dos;read-only memory - disk operating system
rpa;robotic process automation
rpc;remote procedure call
rpg;report program generator
rpm;rpm package manager
rras;routing and remote access service
rsa;rivest shamir adleman
rsi;repetitive strain injury
rss;radio service software
rss;rich site summary, rdf site summary, or really simple syndication
rsvp;resource reservation protocol
rtai;real-time application interface
rtc;real-time clock
rte;real-time enterprise
rtems;real-time executive for multiprocessor systems
rtf;rich text format
rtl;right-to-left
rtmp;real time messaging protocol
rtos;real-time operating system
rtp;real-time transport protocol
rts;ready to send
rtsp;real time streaming protocol
rtti;run-time type information
rtu;remote terminal unit
rwd;responsive web design
saas;software as a service
sass;syntatically awesome style sheets
sam;security account manager
san;storage area network
sas;serial attached scsi
sata;serial ata
sax;simple api for xml
sbod;spinning beachball of death
sbp-2;serial bus protocol 2
sbin;superuser binary
sbs;small business server
sbu;standard build unit
scada;supervisory control and data acquisition
scid;source code in database
scm;software configuration management
scm;source code management
scp;secure copy
scpc;single channel per carrier
scpi;standard commands for programmable instrumentation
scsa;secure content storage association
scsi;small computer system interface
sctp;stream control transmission protocol
sd;secure digital
sddl;security descriptor definition language
sdh;synchronous digital hierarchy
sdi;single-document interface
sec;single edge contact
sdio;secure digital input output
sdk;software development kit
sdl;simple directmedia layer
sdn;service delivery network
sdp;session description protocol
sdr;software-defined radio
sdram;synchronous dynamic random access memory
sdsl;symmetric dsl
se;single ended
sei;software engineering institute
seo;search engine optimization
sftp;secure ftp
sftp;simple file transfer protocol
sftp;ssh file transfer protocol
sgi;silicon graphics, incorporated
sgml;standard generalized markup language
sgr;select graphic rendition
sha;secure hash algorithm
shdsl;single-pair high-speed digital subscriber line
siem;security information and event management
sigcat;special interest group on cd-rom applications and technology
siggraph;special interest group on graphics
simd;single instruction, multiple data
sim;subscriber identification module
simm;single inline memory module
sip;session initiation protocol
sip;supplementary ideographic plane
sisd;single instruction, single data
siso;single-input and single-output
sla;service level agreement
sled;suse linux enterprise desktop
sles;suse linux enterprise server
sli;scalable link interface
slip;serial line internet protocol
slm;service level management
sloc;source lines of code
sme;subject matter expert
smf;single-mode (optical) fiber
spm;software project management
spmd;single program, multiple data
spof;single point of failure
sma;subminiature version a
smb;server message block
smbios;system management bios
smil;synchronized multimedia integration language
s/mime;secure/multipurpose internet mail extensions
smp;supplementary multilingual plane
smp;symmetric multi-processing
smps;switch mode power supply
sms;short message service
sms;system management server
smt;simultaneous multithreading
smtp;simple mail transfer protocol
sna;systems network architecture
snmp;simple network management protocol
sntp;simple network time protocol
soa;service-oriented architecture
soap;simple object access protocol
soap;symbolic optimal assembly program
sopa;stop online piracy act
soc;system-on-a-chip
so-dimm;small outline dimm
soe;standard operating environment
soho;small office/home office
soi;silicon on insulator
sp;service pack
spa;single page application
spf;sender policy framework
spi;serial peripheral interface
spi;stateful packet inspection
sparc;scalable processor architecture
sql;structured query language
sram;static random access memory
ssa;static single assignment
ssd;software specification document
ssd;solid-state drive
ssdp;simple service discovery protocol
sse;streaming simd extensions
ssh;secure shell
ssi;server side includes
ssi;single-system image
ssi;small-scale integration
ssid;service set identifier
ssl;secure socket layer
sso;single sign on
ssp;supplementary special-purpose plane
ssse;supplementary streaming simd extensions
sssp;single source shortest path
sstp;secure socket tunneling protocol
su;superuser
sus;single unix specification
suse;software und system-entwicklung
svc;scalable video coding
svg;scalable vector graphics
svga;super video graphics array
svd;structured vlsi design
swf;shock wave flash
swt;standard widget toolkit
sysop;system operator
solid;single-responsibility principle, open-closed principle, liskov substitution principle, interface segregation principle, dependency inversion principle
tao;track-at-once
tapi;telephony application programming interface
tasm;turbo assembler
tb;terabyte
tcl;tool command language
tcp;transmission control protocol
tcp/ip;transmission control protocol/internet protocol
tcu;telecommunication control unit
tdma;time-division multiple access
tft;thin-film transistor
tftp;trivial file transfer protocol
ti;texas instruments
tiff;tagged image file format
tla;three-letter acronym
tld;top-level domain
tls;thread-local storage
tls;transport layer security
tlv;type—length—value
tmp;temporary
tnc;terminal node controller
tnc;threaded neill-concelman connector
tpf;transaction processing facility
tpm;trusted platform module
troff;trace off
tron;trace on
tron;the real-time operating system nucleus
trsdos;tandy radio shack - disk operating system
tso;time sharing option
tsp;traveling salesman problem
tsr;terminate and stay resident
tta;true tap audio
ttf;truetype font
ttl;transistor—transistor logic
ttl;time to live
tts;text-to-speech
tty;teletype
tucows;the ultimate collection of winsock software
tug;tex users group
twain;technology without an interesting name
uaag;user agent accessibility guidelines
uac;user account control
uart;universal asynchronous receiver/transmitter
uat;user acceptance testing
ub;undefined behavior
ucs;universal character set
uddi;universal description, discovery, and integration
udma;ultra dma
udp;user datagram protocol
uefi;unified extensible firmware interface
uhf;ultra high frequency
ui;user interface
ul;upload
ula;uncommitted logic array
ulsi;ultra large scale integration
uma;upper memory area
umb;upper memory block
uml;unified modeling language
uml;user-mode linux
umpc;ultra-mobile personal computer
umts;universal mobile telecommunications system
unc;universal naming convention
univac;universal automatic computer (by mks)
ups;uninterruptible power supply or uninterrupted power supply
uri;uniform resource identifier
url;uniform resource locator
urn;uniform resource name
usb;universal serial bus
usr;user system resources
usr;u.s. robotics
utc;coordinated universal time
utf;unicode transformation format
utp;unshielded twisted pair
utran;universal terrestrial radio access network
uucp;unix to unix copy
uuid;universally unique identifier
uun;universal user name
uvc;universal virtual computer
uwp;universal windows platform
ux;user experience
var;variable
volte;voice over long term evolution
vax;virtual address extension
vcpi;virtual control program interface
vb;visual basic
vba;visual basic for applications
vbs;visual basic script
vdi;virtual desktop infrastructure
vdu;visual display unit
vdm;virtual dos machine
vdsl;very high bitrate digital subscriber line
vesa;video electronics standards association
vfat;virtual fat
vhd;virtual hard disk
vfs;virtual file system
vg;volume group
vga;video graphics array
vhf;very high frequency
virus;vital information resource under seize
vlan;virtual local area network
vlsm;variable length subnet mask
vlb;vesa local bus
vlf;very low frequency
vliw;very long instruction word
vlsi;very-large-scale integration
vm;virtual machine
vm;virtual memory
vmm;virtual machine monitor
vnc;virtual network computing
vod;video on demand
voip;voice over internet protocol
vpn;virtual private network
vps;virtual private server
vpu;visual processing unit
vr;virtual reality
vrml;virtual reality modeling language
vsam;virtual storage access method
vsat;very small aperture terminal
vt;video terminal
vtl;virtual tape library
vtam;virtual telecommunications access method
vram;video random access memory
w3c;world wide web consortium
wwdc;apple world wide developer conference
wafs;wide area file services
wai;web accessibility initiative
wais;wide area information server
wan;wide area network
wap;wireless access point
wap;wireless application protocol
wasm;watcom assembler
wbem;web-based enterprise management
wcag;web content accessibility guidelines
wcf;windows communication foundation
wdm;wavelength-division multiplexing
webdav;www distributed authoring and versioning
wep;wired equivalent privacy
wfi;wait for interrupt
wi-fi;wireless fidelity
wimax;worldwide interoperability for microwave access
winfs;windows future storage
winrt;windows runtime
wins;windows internet name service
wlan;wireless local area network
wma;windows media audio
wmi;windows management instrumentation
wmv;windows media video
wns;windows push notification service
wol;wake-on-lan
wor;wake-on-ring
wora;write once, run anywhere
wore;write once, run everywhere
worm;write once read many
wpa;wi-fi protected access
wpad;web proxy autodiscovery protocol
wpan;wireless personal area network
wpf;windows presentation foundation
ws-d;web services-discovery
wsdl;web services description language
wsfl;web services flow language
wusb;wireless universal serial bus
wwan;wireless wide area network
wwid;world wide identifier
wwn;world wide name
www;world wide web
wysiwyg;what you see is what you get
wzc;wireless zero configuration
xag;xml accessibility guidelines
xaml;extensible application markup language
xdm;x window display manager
xdmcp;x display manager control protocol
xcbl;xml common business library
xhtml;extensible hypertext markup language
xilp;x interactive listproc
xml;extensible markup language
xmms;x multimedia system
xmpp;extensible messaging and presence protocol
xms;extended memory specification
xns;xerox network systems
xp;cross-platform
xp;extreme programming
xpcom;cross platform component object model
xpi;xpinstall
xpidl;cross-platform idl
xps;xml paper specification
xsd;xml schema definition
xsl;extensible stylesheet language
xsl-fo;extensible stylesheet language formatting objects
xslt;extensible stylesheet language transformations
xss;cross-site scripting
xtf;extensible tag framework
xtf;extended triton format
xul;xml user interface language
xvga;extended video graphics adapter
y2k38;year two thousand thirty eight
yaaf;yet another application framework
yacc;yet another compiler compiler
yagni;you aren't gonna need it
yaml;yaml ain't markup language
yarn;yet another resource negotiator
yast;yet another setup tool
zcav;zone constant angular velocity
zcs;zero code suppression
zif;zero insertion force
zifs;zero insertion force socket
zip;zip file archive
zisc;zero instruction set computer
zoi;zero one infinity
zope;z object publishing environment
zma;zone multicast address
zpl;z-level programming language
